,BHR,ROM,POR,ESP,MCO,AZE,FRA,STY,AUT,GBR,HUN,BEL,NLD,ITA,RUS,TUR,USA,MEX,BRA,QAT,SAU,ARE
Verstappen,18.0,43.0,61.0,80.0,105.0,105.0,131.0,156.0,182.0,185.0,187.0,199.5,224.5,226.5,244.5,262.5,287.5,312.5,332.5,351.5,369.5,395.5
Hamilton,25.0,44.0,69.0,94.0,101.0,101.0,119.0,138.0,150.0,177.0,195.0,202.5,221.5,221.5,246.5,256.5,275.5,293.5,318.5,343.5,369.5,387.5
Bottas,16.0,16.0,32.0,47.0,47.0,47.0,59.0,74.0,92.0,108.0,108.0,108.0,123.0,141.0,151.0,177.0,185.0,185.0,203.0,203.0,218.0,226.0
Pérez,10.0,10.0,22.0,32.0,44.0,69.0,84.0,96.0,104.0,104.0,104.0,104.0,108.0,118.0,120.0,135.0,150.0,165.0,178.0,190.0,190.0,190.0
Sainz,4.0,14.0,14.0,20.0,38.0,42.0,42.0,50.0,60.0,68.0,83.0,83.5,89.5,97.5,112.5,116.5,122.5,130.5,139.5,145.5,149.5,164.5
Norris,12.0,27.0,37.0,41.0,56.0,66.0,76.0,86.0,101.0,113.0,113.0,113.0,114.0,132.0,139.0,145.0,149.0,150.0,151.0,153.0,154.0,160.0
Leclerc,8.0,20.0,28.0,40.0,40.0,52.0,52.0,58.0,62.0,80.0,80.0,82.0,92.0,104.0,104.0,116.0,128.0,138.0,148.0,152.0,158.0,159.0
Ricciardo,6.0,14.0,16.0,24.0,24.0,26.0,34.0,34.0,40.0,50.0,50.0,56.0,56.0,83.0,95.0,95.0,105.0,105.0,105.0,105.0,115.0,115.0
Gasly,0.0,6.0,7.0,8.0,16.0,31.0,37.0,37.0,39.0,39.0,50.0,54.0,66.0,66.0,66.0,74.0,74.0,86.0,92.0,92.0,100.0,110.0
Alonso,0.0,1.0,5.0,5.0,5.0,13.0,17.0,19.0,20.0,26.0,38.0,38.0,46.0,50.0,58.0,58.0,58.0,60.0,62.0,77.0,77.0,81.0
Ocon,0.0,2.0,8.0,10.0,12.0,12.0,12.0,12.0,12.0,14.0,39.0,42.0,44.0,45.0,45.0,46.0,46.0,46.0,50.0,60.0,72.0,74.0
Vettel,0.0,0.0,0.0,0.0,10.0,28.0,30.0,30.0,30.0,30.0,30.0,35.0,35.0,35.0,35.0,35.0,36.0,42.0,42.0,43.0,43.0,43.0
Stroll,1.0,5.0,5.0,5.0,9.0,9.0,10.0,14.0,14.0,18.0,18.0,18.0,18.0,24.0,24.0,26.0,26.0,26.0,26.0,34.0,34.0,34.0
Tsunoda,2.0,2.0,2.0,2.0,2.0,8.0,8.0,9.0,9.0,10.0,18.0,18.0,18.0,18.0,18.0,18.0,20.0,20.0,20.0,20.0,20.0,32.0
Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,13.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Räikkönen,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,10.0,10.0,10.0,10.0,10.0
Latifi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Giovinazzi,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0
Schumacher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kubica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mazepin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
